,kezdő napja,záró napja,0-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,84-89,90-120,Összesen
277,2020. április 20.,2020. április 26.,26,15,17,53,71,106,212,268,302,338,340,322,286,2 356
278,2020. április 27.,2020. május 3.,34,10,26,36,80,105,179,255,253,315,357,330,270,2 250
279,2020. május 4.,2020. május 10.,22,11,27,53,70,116,192,294,263,324,341,335,243,2 291
280,2020. május 11.,2020. május 17.,31,17,29,46,61,102,218,289,283,312,357,344,255,2 344
281,2020. május 18.,2020. május 24.,30,14,19,40,59,108,166,255,284,326,308,293,209,2 111
282,2020. május 25.,2020. május 31.,38,14,25,43,58,112,202,260,273,310,321,320,216,2 192
283,2020. június 1.,2020. június 7.,26,10,30,45,77,123,236,284,282,327,366,323,268,2 397
284,2020. június 8.,2020. június 14.,24,15,29,45,59,99,202,276,259,304,343,373,260,2 288
285,2020. június 15.,2020. június 21.,29,9,29,58,69,98,189,236,296,279,300,265,214,2 071
286,2020. június 22.,2020. június 28.,25,17,29,40,71,131,209,273,282,328,305,325,228,2 263
287,2020. június 29.,2020. július 5.,29,13,25,46,75,103,191,287,278,343,335,329,260,2 314
288,2020. július 6.,2020. július 12.,31,9,27,39,66,111,210,258,249,273,356,317,227,2 173
289,2020. július 13.,2020. július 19.,24,9,28,39,75,93,167,259,290,289,322,309,208,2 112
290,2020. július 20.,2020. július 26.,25,2,23,42,62,106,181,269,262,315,304,317,244,2 152
291,2020. július 27.,2020. augusztus 2.,28,13,32,47,85,116,197,266,256,342,355,380,242,2 359
292,2020. augusztus 3.,2020. augusztus 9.,27,13,33,49,86,109,212,282,275,329,332,331,234,2 312
293,2020. augusztus 10.,2020. augusztus 16.,23,16,34,51,84,100,193,288,263,319,314,339,241,2 265
294,2020. augusztus 17.,2020. augusztus 23.,22,12,31,45,90,108,175,278,279,298,312,307,265,2 222
295,2020. augusztus 24.,2020. augusztus 30.,27,17,21,34,66,126,171,296,260,312,329,300,245,2 204
296,2020. augusztus 31.,2020. szeptember 6.,35,14,29,40,77,97,180,257,273,335,325,322,236,2 220
297,2020. szeptember 7.,2020. szeptember 13.,29,11,28,36,84,114,193,278,290,308,323,369,270,2 333
298,2020. szeptember 14.,2020. szeptember 20.,27,17,23,53,91,110,208,284,298,356,389,359,256,2 471
299,2020. szeptember 21.,2020. szeptember 27.,30,22,31,47,81,106,189,328,324,343,381,329,248,2 459
300,2020. szeptember 28.,2020. október 4.,42,26,27,38,79,135,191,307,313,393,366,360,285,2 562
301,2020. október 5.,2020. október 11.,33,15,17,41,89,124,185,297,317,383,386,409,267,2 563
302,2020. október 12.,2020. október 18.,23,13,23,53,84,121,238,335,324,416,406,414,302,2 752
303,2020. október 19.,2020. október 25.,43,19,31,60,88,124,212,355,387,430,493,406,339,2 987
304,2020. október 26.,2020. november 1.,32,11,31,60,97,120,257,393,389,469,506,461,359,3 185
305,2020. november 2.,2020. november 8.,34,18,39,57,90,156,239,436,428,527,570,553,401,3 548
306,2020. november 9.,2020. november 15.,44,10,35,68,120,147,287,452,520,608,690,592,389,3 962
307,2020. november 16.,2020. november 22.,29,15,30,61,95,170,286,477,525,596,654,572,441,3 951
308,2020. november 23.,2020. november 29.,27,21,33,64,101,164,319,461,515,584,656,675,445,4 065
309,2020. november 30.,2020. december 6.,33,17,42,64,117,180,310,471,551,575,696,603,511,4 170
310,2020. december 7.,2020. december 13.,42,15,44,78,98,152,283,455,483,606,690,650,494,4 090
311,2020. december 14.,2020. december 20.,33,21,30,62,95,151,286,403,478,543,603,557,470,3 732
312,2020. december 21.,2020. december 27.,41,11,35,62,117,172,273,446,488,529,577,566,437,3 754
313,2020. december 28.,2021. január 3.,33,19,30,50,87,149,235,393,451,514,575,526,389,3 451
314,2021. január 4.,2021. január 10.,23,25,34,52,122,149,272,345,375,455,518,481,348,3 199
315,2021. január 11.,2021. január 17.,25,9,27,60,90,126,237,344,430,475,526,475,333,3 157
316,2021. január 18.,2021. január 24.,27,15,28,52,94,132,245,360,367,453,422,424,338,2 957
317,2021. január 25.,2021. január 31.,28,11,22,55,97,126,219,300,349,372,473,370,354,2 776
318,2021. február 1.,2021. február 7.,38,14,25,46,80,145,233,325,339,379,440,381,318,2 763
319,2021. február 8.,2021. február 14.,35,12,27,43,88,121,206,324,375,377,453,417,287,2 765
320,2021. február 15.,2021. február 21.,28,19,33,46,72,110,208,357,348,410,456,427,282,2 796
321,2021. február 22.,2021. február 28.,23,12,27,49,93,136,239,324,386,401,492,423,309,2 914
322,2021. március 1.,2021. március 7.,13,10,28,51,105,123,225,340,411,440,447,366,279,2 838
